Temperature,Humidity,HeartRate,AccelX,AccelY,AccelZ,HealthStatus
32.3,31.0,80.0,-0.45,-0.09,-0.99,1
32.3,31.0,80.0,-0.46,-0.09,-0.99,1
32.3,31.0,80.0,-0.66,0.02,-0.84,1
32.3,31.0,80.0,-0.78,0.12,-0.7,0
32.3,31.0,80.0,-0.49,-0.06,-0.97,1
32.3,31.0,80.0,-0.49,-0.07,-0.98,1
32.3,31.0,80.0,-0.49,-0.07,-0.97,1
32.3,31.0,80.0,-0.49,-0.07,-0.98,1
32.3,31.0,80.0,-0.49,-0.07,-0.97,1
32.3,31.0,80.0,-0.49,-0.07,-0.97,1
32.3,31.0,80.0,-0.48,-0.07,-0.97,1
32.3,31.0,80.0,-0.5,-0.07,-0.97,1
32.3,31.0,80.0,-0.49,-0.07,-0.97,1
32.3,31.0,80.0,-0.42,-0.03,-1.01,1
32.3,31.0,80.0,-0.42,-0.02,-1.0,1
32.3,31.0,80.0,-0.58,-0.03,-1.05,1
32.3,31.0,80.0,-0.9,0.43,-0.26,0
32.3,31.0,80.0,-0.88,0.37,-0.43,0
32.3,31.0,80.0,-0.77,-0.43,-0.62,0
32.3,31.0,80.0,-0.93,0.0,-0.63,1
32.3,31.0,80.0,-0.66,-0.39,-0.75,1
32.3,31.0,80.0,-0.76,-0.43,-0.59,0
32.3,31.0,80.0,-0.7,-0.34,-0.73,0
32.3,31.0,80.0,-0.69,-0.38,-0.73,1
32.3,31.0,80.0,-0.68,-0.38,-0.74,1
32.3,31.0,80.0,-0.76,-0.42,-0.58,0
32.3,31.0,80.0,-0.39,-0.14,-1.01,1
32.3,31.0,80.0,-0.38,-0.14,-1.01,1
32.3,31.0,80.0,-0.0,-0.07,0.75,1
32.3,31.0,80.0,0.08,-0.26,0.85,1
32.3,31.0,80.0,0.07,-0.23,0.85,1
32.3,31.0,80.0,-0.94,-0.35,-0.14,0
32.3,31.0,80.0,-0.95,-0.34,-0.16,0
32.3,31.0,80.0,-0.95,-0.33,-0.16,0
32.3,31.0,80.0,-0.95,-0.34,-0.16,0
32.3,31.0,80.0,-0.96,-0.32,-0.17,0
32.3,31.0,80.0,-0.96,-0.32,-0.15,0
32.3,31.0,80.0,-0.96,-0.33,-0.14,0
32.3,31.0,80.0,-0.95,-0.33,-0.13,0
32.3,31.0,80.0,-0.94,-0.33,-0.14,0
32.3,31.0,80.0,-0.94,-0.33,-0.12,0
32.3,31.0,80.0,-0.96,-0.33,-0.13,0
32.3,31.0,80.0,-0.96,-0.33,-0.13,0
32.3,31.0,80.0,-0.96,-0.32,-0.14,0
32.3,31.0,80.0,-0.97,-0.33,-0.15,0
32.3,31.0,80.0,-0.98,-0.32,-0.13,0
32.3,31.0,80.0,-0.96,-0.3,-0.19,0
32.3,31.0,80.0,-0.98,-0.31,-0.23,0
32.3,31.0,80.0,-0.98,-0.28,-0.23,0
32.3,31.0,80.0,-0.96,-0.25,-0.25,0
32.3,31.0,80.0,-0.98,-0.25,-0.25,0
32.3,31.0,80.0,-0.64,-0.13,-0.85,1
32.3,31.0,80.0,-0.63,-0.15,-0.87,1
32.3,31.0,80.0,-0.62,-0.16,-0.88,1
32.3,31.0,80.0,-0.61,-0.16,-0.88,1
32.3,31.0,80.0,-0.61,-0.16,-0.88,1
32.3,31.0,80.0,-0.6,-0.16,-0.89,1
32.3,31.0,80.0,-0.6,-0.16,-0.89,1
32.3,31.0,80.0,-0.6,-0.16,-0.89,0
32.3,31.0,80.0,-0.58,-0.16,-0.89,1
32.3,31.0,80.0,-0.58,-0.16,-0.89,1
32.3,31.0,80.0,-0.58,-0.16,-0.89,1
32.3,31.0,80.0,-0.59,-0.16,-0.89,1
32.3,31.0,80.0,-0.59,-0.17,-0.89,1
32.3,31.0,80.0,-0.59,-0.16,-0.89,1
32.3,31.0,80.0,-0.9,-0.38,-0.12,0
32.3,31.0,80.0,-0.94,-0.32,-0.25,0
32.3,31.0,80.0,-0.97,-0.31,-0.33,0
32.3,31.0,80.0,-0.96,-0.25,-0.33,0
32.3,31.0,80.0,-0.93,-0.25,-0.39,0
32.3,31.0,80.0,-0.58,-0.28,-0.91,1
32.3,31.0,80.0,-0.99,-0.11,-0.36,0
32.3,31.0,80.0,-0.95,-0.11,-0.47,0
32.3,31.0,80.0,-0.91,-0.09,-0.56,1
32.3,31.0,80.0,-0.89,-0.07,-0.59,1
32.3,31.0,80.0,-0.89,-0.07,-0.62,1
32.3,31.0,80.0,-0.87,-0.05,-0.64,1
32.3,31.0,80.0,-0.85,-0.04,-0.66,1
